Bill.com Entity,Bill.com Object ID,Bill.com Line ID,NetSuite Record ID,NetSuite Sublist ID,NetSuite Line ID
PurchaseOrder,pur02QWGFURYANISeziu,pol02PHKORWNCUH308fd,802269,item,3
PurchaseOrder,pur02FWRAXWTJOQEeziv,pol02QAOUBPPWAG308fe,888967,item,1
PurchaseOrder,pur02XYZKFYDZNGJeziw,pol02PUJSJGDWPD308ff,972839,item,3
PurchaseOrder,pur02XYZKFYDZNGJeziw,pol02OYDPLAOVQN308fg,972839,item,4
PurchaseOrder,pur02XYZKFYDZNGJeziw,pol02WIOVEBTMVG308fh,972839,item,5
PurchaseOrder,pur02IFVNSCENBLIezix,pol02CVPJDSXFVG308fj,1157000,item,1
PurchaseOrder,pur02YQEBHLNWSEXeziy,pol02UKOJQTJOQM308fk,1562352,item,1
PurchaseOrder,pur02YQEBHLNWSEXeziy,pol02XUVUXXEZYH308fl,1562352,item,2
PurchaseOrder,pur02NHNUEJYNCCBeziz,pol02JQLSEJZMTK308fm,1726281,item,1
PurchaseOrder,pur02NHNUEJYNCCBeziz,pol02IXJCGZYVSU308fn,1726281,item,2
PurchaseOrder,pur02NHNUEJYNCCBeziz,pol02OXFXIQEELZ308fo,1726281,item,3
PurchaseOrder,pur02NHNUEJYNCCBeziz,pol02OBISJEKELK308fp,1726281,item,4
PurchaseOrder,pur02ZBZYOVEDRCVezj0,pol02XWOFZFLBMG308fq,1845688,item,1
PurchaseOrder,pur02UTXYAPRWFZCezj1,pol02VWUDZVOMYR308fr,2033744,item,1
PurchaseOrder,pur02OXMOTFTQTZNezj2,pol02XJOPRURXGB308fs,2044814,item,1
PurchaseOrder,pur02BQZDWWBZKDJezj3,pol02EQNAGSHHRZ308ft,2077089,item,1
PurchaseOrder,pur02WXMNKWIAQUCezj4,pol02LWMSTAFKJR308fu,2173329,item,1
PurchaseOrder,pur02RNGQHYQRYPYezj5,pol02DFEGFBZPVP308fw,2223421,item,1
PurchaseOrder,pur02MPKCHUCAIDOezj6,pol02MERXJZFSRV308fx,2223425,item,1
PurchaseOrder,pur02FYRLZSTNMHZezj7,pol02CCBDZRWYIT308fy,2257101,item,1
PurchaseOrder,pur02FDYIRXLHFGYezj8,pol02DMXBNATYQN308fz,2393088,item,1
PurchaseOrder,pur02FDYIRXLHFGYezj8,pol02MAZQAQEZNH308g0,2393088,item,2
PurchaseOrder,pur02FDYIRXLHFGYezj8,pol02YZHDJMKMFT308g1,2393088,item,3
PurchaseOrder,pur02LJSBVSXVDXWezj9,pol02VXVWFHGPJT308g2,2709093,item,1
PurchaseOrder,pur02GNFCBORPBZCezja,pol02JNXDSXKDBY308g3,2749328,item,1
PurchaseOrder,pur02GNFCBORPBZCezja,pol02IACPWSHPHM308g4,2749328,item,2
PurchaseOrder,pur02LWIZQLQZYNQezjb,pol02EJSEQWZVFM308g5,2773399,item,1
PurchaseOrder,pur02WDOFFZQTPKCezjc,pol02GAWBXIGFXY308g6,2773400,item,1
PurchaseOrder,pur02IXVWTRVHLAMezjd,pol02ZMFCPVEFXC308g8,2978161,item,1
PurchaseOrder,pur02IXVWTRVHLAMezjd,pol02GTZKMTWWXJ308g9,2978161,item,2
